,km_driven,Chevrolet,Expensive,Ford,Honda,Hyundai,Mahindra,Maruti,Renault,Skoda,Tata,Toyota,Volkswagen,selling_price,fuel_Diesel,fuel_LPG,fuel_Petrol,owner_Fourth & Above Owner,owner_Second Owner,owner_Test Drive Car,owner_Third Owner
224,39395,False,True,False,False,False,False,False,False,False,False,False,False,524000,False,False,True,False,False,False,False
225,69779,False,False,False,False,False,False,True,False,False,False,False,False,245000,False,False,True,False,False,False,False
226,35000,False,False,False,False,False,False,True,False,False,False,False,False,275000,False,False,True,False,True,False,False
227,70000,False,False,False,False,False,False,True,False,False,False,False,False,520000,False,False,True,False,False,False,False
228,35000,False,True,False,False,False,False,False,False,False,False,False,False,130000,False,False,True,False,True,False,False
229,90000,False,False,False,False,False,False,True,False,False,False,False,False,550000,False,False,True,False,False,False,False
230,120000,False,False,False,False,True,False,False,False,False,False,False,False,910000,False,False,True,False,False,False,False
231,33000,False,False,False,False,False,False,True,False,False,False,False,False,300000,False,False,True,False,False,False,False
232,100000,False,False,False,False,False,False,True,False,False,False,False,False,350000,False,False,True,False,False,False,False
233,60000,False,False,False,False,False,False,True,False,False,False,False,False,900000,True,False,False,False,False,False,False
234,120000,False,False,False,False,False,False,True,False,False,False,False,False,300000,True,False,False,False,True,False,False
235,178000,False,False,False,False,False,False,False,False,False,True,False,False,250000,True,False,False,False,True,False,False
236,100000,False,False,False,False,False,False,True,False,False,False,False,False,1100000,True,False,False,False,False,False,False
237,15000,False,False,False,False,False,True,False,False,False,False,False,False,270000,False,False,True,False,False,False,False
238,188000,False,False,False,False,False,False,True,False,False,False,False,False,640000,True,False,False,False,False,False,False
239,144000,False,False,False,False,False,False,True,False,False,False,False,False,650000,True,False,False,False,False,False,False
240,18300,False,False,False,True,False,False,False,False,False,False,False,False,409999,False,False,True,False,False,False,False
241,56290,False,False,False,False,True,False,False,False,False,False,False,False,165000,False,False,True,False,False,False,False
242,48000,False,False,False,False,True,False,False,False,False,False,False,False,80000,False,False,True,False,True,False,False
243,51000,False,False,False,False,False,False,True,False,False,False,False,False,535000,True,False,False,False,False,False,False
244,49000,False,True,False,False,False,False,False,False,False,False,False,False,700000,True,False,False,False,False,False,False
245,80000,False,False,False,False,False,False,False,False,False,True,False,False,550000,True,False,False,False,False,False,False
246,56000,False,False,False,False,False,False,True,False,False,False,False,False,680000,False,False,True,False,False,False,False
247,13500,False,True,False,False,False,False,False,False,False,False,False,False,200000,False,False,True,False,True,False,False
248,25000,False,False,False,False,True,False,False,False,False,False,False,False,500000,True,False,False,False,True,False,False
249,80322,False,False,True,False,False,False,False,False,False,False,False,False,1000000,True,False,False,False,False,False,False
250,100000,False,False,False,False,False,False,True,False,False,False,False,False,110000,False,False,True,False,True,False,False
251,10000,False,False,False,False,True,False,False,False,False,False,False,False,320000,False,False,True,False,True,False,False
252,120000,False,False,False,False,True,False,False,False,False,False,False,False,75000,True,False,False,False,True,False,False
253,37000,False,True,False,False,False,False,False,False,False,False,False,False,350000,False,False,True,False,False,False,False
254,70000,False,False,False,False,False,False,True,False,False,False,False,False,170000,True,False,False,False,False,False,False
255,70000,True,False,False,False,False,False,False,False,False,False,False,False,800000,True,False,False,False,False,False,False
256,60000,False,False,False,False,True,False,False,False,False,False,False,False,500000,True,False,False,False,False,False,False
257,70000,False,False,False,False,False,False,True,False,False,False,False,False,1380000,True,False,False,False,False,False,False
258,150000,False,False,False,False,False,False,False,False,True,False,False,False,1300000,True,False,False,False,False,False,False
259,80000,False,False,False,False,False,False,False,False,False,False,True,False,530000,True,False,False,False,False,False,False
260,40142,False,False,False,False,True,False,False,False,False,False,False,False,360000,True,False,False,False,False,False,False
261,79328,False,False,False,False,False,False,False,False,False,False,True,False,310000,True,False,False,False,False,False,False
262,40000,False,True,False,False,False,False,False,False,False,False,False,False,725000,True,False,False,False,True,False,False
263,79000,False,False,False,False,True,False,False,False,False,False,False,False,340000,True,False,False,False,False,False,False
264,95000,False,False,False,False,False,False,True,False,False,False,False,False,550000,True,False,False,False,True,False,False
265,120000,False,False,True,False,False,False,False,False,False,False,False,False,1150000,True,False,False,False,True,False,False
266,60000,False,True,False,False,False,False,False,False,False,False,False,False,380000,True,False,False,False,False,False,False
267,165000,False,False,False,False,False,False,True,False,False,False,False,False,350000,False,False,True,False,True,False,False
268,25000,False,False,False,False,True,False,False,False,False,False,False,False,610000,False,False,True,False,False,False,False
269,27500,False,False,False,False,True,False,False,False,False,False,False,False,525000,False,False,True,False,False,False,False
270,103000,False,False,False,True,False,False,False,False,False,False,False,False,480000,True,False,False,False,False,False,False
271,35000,False,False,False,False,False,False,False,False,False,False,True,False,780000,True,False,False,False,False,False,False
